sentenceID,sub,verb,obj,label,confidence
0,Medicarerecipients,raise,premiums,false,2.0
0,premiums,reduce,benefits,false,1.0
1,Thetwoyearnotesyield,wasunchangedat,595percent,true,4.0
3,Theprincipaloppositionparties,boycotted,thepolls,true,2.0
3,theballot,was,alittleknownchallenger,false,1.0
4,Galleryhours,are,11am,false,3.0
5,ASpanishofficial,hadjustfinished,asiesta,true,4.0
5,ASpanishofficial,seemednot,theleastbittense,true,2.0
5,theportablefacilities,werentin,service,true,3.0
6,acomplicatedandvaguelyunderstoodseriesofphenomena,iseither,theweathereventofthecentury,false,3.0
6,anevent,cantcomeclosetolivingupto,thesuperhype,true,2.0
7,he,haseasedupon,teamrules,true,4.0
8,Jake,decidestogive,Melanie,false,2.0
8,she,sgiving,him,false,2.0
8,she,grewupwith,amegadoseofNewYorkattitude,false,3.0
9,Sather,sitshighabove,theGardenice,false,2.0
9,he,couldhardlynotice,thenetting,true,2.0
10,Eightpercent,wentto,Europe,true,5.0
10,1percent,wentto,otherregions,true,2.0
11,he,left,theUNbuilding,true,2.0
11,Sabri,said,he,false,1.0
11,he,hoped,Iraqsannouncement,false,1.0
11,Iraqsannouncement,wasafirststeptoward,theliftingofthisbrutalregimeofsanctions,true,3.0
12,stablebondyields,providedsupportfor,stocks,true,4.0
13,Histeammates,indeedloved,theshow,true,5.0
14,they,recoveredtowin,theirfinaltwomatches,true,3.0
15,consumers,havejustdecided,they,false,1.0
15,they,haveenough,stuff,true,3.0
15,they,aresalting,money,false,2.0
16,He,threw,threescorelessinnings,true,4.0
17,thefutureofspecificprograms,beforehavesomanyof,them,false,1.0
17,them,entered,aseason,false,2.0
21,TheResidentialInternshipProgram,shouldmeet,thedistrictsneeds,true,4.0
23,ahardact,said,RuthBrownofLondon,false,3.0
23,RuthBrownofLondon,wasamong,thecrowds,true,3.0
24,Mostepidemiologists,say,thedisorder,false,1.0
24,thedisorder,stemsfrom,ageneticdysfunction,true,3.0
27,she,wouldconcern,herself,false,3.0
28,we,said,BobbyBrown,false,3.0
29,Congress,holdshearingstoconsider,antiroadragelegislation,true,5.0
30,I,onlysmoke,one,true,5.0
31,I,vebeenhere,19years,false,4.0
31,it,sneverbeen,agoodtime,true,3.0
32,Viacom,havealreadybumpedupagainst,thelimitsoftherules,true,2.0
33,personMsHolloman,lookslesslike,atomboy,false,1.0
35,Thebenchmark30yearbond,rose,38,true,4.0
36,It,beginslifewith,a75millionannualdebtserviceburden,true,4.0
37,Partofthisindifference,isprobablycausedby,theunearnedcynicismoftheage,true,4.0
38,Theseimmigrants,deserve,consideration,true,2.0
38,thelaws,werein,place,true,3.0
38,they,said,RepLincolnDiazBalart,false,3.0
40,theoccasionalmomentofreality,make,thisReese,false,2.0
41,He,steppedoutof,hisMercedes,true,4.0
41,He,stoodamong,dozensofotherstupefiedcommuters,true,2.0
42,Giorgio,begangetting,headaches,true,5.0
43,Koplowitzsnextconcert,willbe,amoremodestaffair,true,4.0
44,Onlyaboutoneinfiveprivatesectoremployees,stillreceives,thatkindofdeal,true,4.0
48,It,said,it,false,1.0
48,it,wanted,thecourt,false,1.0
48,thegovernment,apply,thesamerules,false,2.0
49,Calcavecchia,plays,Fridaymorning,true,2.0
49,he,knows,theimportance,false,1.0
49,theAmericans,have,arecenthistory,false,1.0
50,Tuman,hadlinedupon,theleftside,true,4.0
50,Tuman,glideduncheckedto,therightand,false,2.0
50,therightand,caught,Griesespass,false,0.0
50,theColorado,2,Twoplays,false,2.0
50,a1yardtouchdown,put,Michigan,false,2.0
51,CharlesDarwin,hadwrittenin,1872,true,2.0
51,socialscientistsofthe1960sand1970s,believed,expressions,false,1.0
51,expressions,arelearnedthrough,culture,true,3.0
52,TheHearstNewsService,willfile,thefollowing,true,2.0
53,asmanyas57deputies,weremembersof,Fatah,true,2.0
53,membersofFatah,let,Arafat,false,1.0
53,Arafat,knowin,ameeting,false,2.0
54,thenewCadillacSRX,willbecomeoneof,thenewestentrants,false,3.0
54,rivalLincoln,isabouttoadd,itsownAviator,true,2.0
55,It,s,aneffective,false,4.0
56,RoyOswalt,havewon,19straightdecisions,true,3.0
56,they,reacombined211with,a241,false,3.0
57,amove,willlikelylead,Organogenesis,false,2.0
59,Rennie,retiredin,1977,true,3.0
60,ExtendicareInc,agreedtobuy,ArborHealthCareCo,true,2.0
60,ArborHealthCareCo,assumed,debt,false,1.0
61,She,beganhercareeras,achunkywoman,true,4.0
62,This,leadsto,oneoftwoinescapableconclusions,true,4.0
62,thepresident,reads,BioScope,true,3.0
65,HootersofAmerica,franchises,atotalof192ofthehotwingrestaurants,true,2.0
67,Thedrill,has,akeylesschuck,true,4.0
70,Rhodes,discovered,he,false,1.0
70,he,feltasharppainin,hisrightleg,true,3.0
71,fourtouchdownpasses,setup,Grozas16yardwinningfieldgoal,false,1.0
73,That,salotof,maybes,true,4.0
73,Ruiz,nowknows,he,false,2.0
73,he,mustturnin,anotherdirection,true,3.0
73,he,wants,themultimilliondollarpayday,true,1.0
73,he,sbeenseekingfor,twoyears,false,3.0
74,DeLillo,hasbrilliantlydescribed,thesimultaneousexplosionofknowledge,false,2.0
75,Salim,said,thestabbing,false,1.0
75,thestabbing,wasunrelatedto,theescapeplan,true,4.0
76,Taxrevenue,willfallas,economicgrowth,false,2.0
76,thegovernment,willreduce,spending,true,3.0
77,theKurdishleadership,give,it,false,1.0
78,I,showed,him,false,2.0
78,I,felt,themovie,false,1.0
80,latelastweek,said,they,false,1.0
80,they,believed,theaccord,false,1.0
80,theaccord,wouldreducethenumberof,teenagers,false,3.0
81,it,isdominatedby,asixstoryrotunda,true,4.0
82,Thecompanies,havebeenin,business,false,3.0
84,prices,rose,250,true,1.0
84,wholesale,equaledabout,5cents,false,2.0
86,thesiteoftheembassy,hasbeenturnedinto,apark,true,3.0
87,1449million,remainscloseto,theeightyearhighof1476millionnewstarts,true,2.0
88,Sikes,shouldapplyfor,workmanscompensation,true,4.0
89,theJets,used,somenewalignments,true,4.0
89,ShaunEllis,linedupon,oneside,true,4.0
89,MoLewis,rushedfrom,theother,true,3.0
90,thedepartment,hasrapidlyincreasedthenumberof,cattle,false,3.0
92,She,soughtout,theuntouchablesofoursociety,true,4.0
92,she,touched,them,true,3.0
93,You,canventureout,100yards,true,4.0
93,You,stillfind,thewater,false,3.0
95,Farris,wasreplacedby,sophomoreDustinLong,true,2.0
95,freshmanReggieMcNeal,playedin,theopener,true,3.0
96,BIGGESTCONCERNSExpresspilots,currentlyhave,nopension,false,5.0
97,abestseller,is,bigger,false,2.0
98,theAlabamaRepublican,istherankingminoritymemberof,theIntelligenceCommittee,true,4.0
98,God,justhadaplanfor,me,true,4.0
98,aplan,wanted,me,false,1.0
98,alittlewhile,said,Johnson,false,2.0
98,Johnson,has,awife,true,3.0
99,Type,fillout,theeasyquestionnaire,false,2.0
99,you,llget,sidebysidecomparisons,false,2.0
100,Katzenberg,isfeudingwith,formeremployerDisney,true,3.0
100,he,wasdenied,hiscutoftheDisney,false,2.0
100,hiscutoftheDisney,animated,films,false,1.0
101,1200degreeair,ispumpedbackto,theturbineblades,true,3.0
102,PresidioMed,fillsthetimebetween,thosescenes,true,2.0
102,it,maybe,asign,false,2.0
103,M2CDs,rose,30percent,true,3.0
104,18to64,rose,ahalfpercentagepoint,false,2.0
105,BSA,seizeditemsfrom,SMSummit,true,3.0
106,everyone,revertedto,theirtraditionalduties,true,4.0
108,elegantsouls,consider,suchjournalism,false,2.0
109,Some,think,theblend,false,2.0
109,theblend,ismoreweightedtoward,expedience,true,4.0
110,Truckingcompanies,havefinallyreboundedafter,yearsoflaggardperformance,true,3.0
111,you,pleasecall,SusieMcBee,false,3.0
112,caulking,bedoneat,thetimeofthereglazingorafter,false,3.0
113,Hislegislation,wouldallow,taxfreesavings,true,2.0
114,Bullion,roseas,theUSdollar,false,2.0
114,theUSdollar,fellagainst,theyen,true,2.0
115,Solutia,issaddledwith,1billion,false,2.0
116,thetwosituations,offer,reason,false,1.0
116,Bothstrikes,involve,Krogerstores,true,2.0
116,both,beganin,earlyOctober,true,4.0
116,both,havebeenmediatedby,federalofficials,true,3.0
118,Thosethree,wereapprehended,Sunday,true,5.0
119,he,areusually,those,false,2.0
121,CrouchingTiger,issettodebutin,June,true,4.0
122,Kidd29,extended,hiscurrentcontractyears,false,3.0
122,hiscurrentcontractyears,maynotsignanotherextensionwith,theNets,false,1.0
123,USstocks,weremixedafter,areport,false,2.0
123,abondmarketrally,couldboost,shares,true,3.0
124,exportgrowth,hasalsoforced,economicgrowthexpectations,false,3.0
125,Euromoneysexecutives,spent,severaldays,false,2.0
125,thisweek,huddledin,negotiations,false,2.0
125,they,named,editor,false,1.0
126,MsDenissgift,istointegrate,thecharacters,true,3.0
126,they,emergefrom,it,true,2.0
128,TheboardofdirectorsofUAL,islikelytoname,GlennFTilton,false,4.0
129,Dellstock,fell,2116,true,3.0
131,JimSuydam,writesfor,theAustinAmericanStatesman,true,5.0
132,they,accept,theresponsibility,true,2.0
133,I,says,Steers,false,3.0
133,Steers,didayearat,Hotchkiss,true,4.0
133,he,bunkedwith,membersofadancecompany,true,2.0
135,clientsoftheNewYorkTimesNewsServiceManufacturersorders,willlikelybestrongerthan,the91percentgrowth,false,1.0
137,she,shed,70pounds,true,2.0
137,she,became,thesleeklybeautifulandcharismaticmusicalactressoflegend,true,1.0
138,she,returnedwith,hermother,true,2.0
138,Greece,entered,theconservatory,false,0.0
